__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-11-25,US,United States,sales,Sales,TOTAL,84.44
HiringLabSectoralPosting,2020-11-26,US,United States,sales,Sales,TOTAL,84.57
HiringLabSectoralPosting,2020-11-27,US,United States,sales,Sales,TOTAL,84.66
HiringLabSectoralPosting,2020-11-28,US,United States,sales,Sales,TOTAL,84.72
HiringLabSectoralPosting,2020-11-29,US,United States,sales,Sales,TOTAL,84.6
HiringLabSectoralPosting,2020-11-30,US,United States,sales,Sales,TOTAL,84.51
HiringLabSectoralPosting,2020-12-01,US,United States,sales,Sales,TOTAL,84.43
HiringLabSectoralPosting,2020-12-02,US,United States,sales,Sales,TOTAL,84.38
HiringLabSectoralPosting,2020-12-03,US,United States,sales,Sales,TOTAL,84.39
HiringLabSectoralPosting,2020-12-04,US,United States,sales,Sales,TOTAL,84.48
HiringLabSectoralPosting,2020-12-05,US,United States,sales,Sales,TOTAL,84.63
HiringLabSectoralPosting,2020-12-06,US,United States,sales,Sales,TOTAL,84.77
HiringLabSectoralPosting,2020-12-07,US,United States,sales,Sales,TOTAL,84.85
HiringLabSectoralPosting,2020-12-08,US,United States,sales,Sales,TOTAL,84.87
HiringLabSectoralPosting,2020-12-09,US,United States,sales,Sales,TOTAL,84.93
HiringLabSectoralPosting,2020-12-10,US,United States,sales,Sales,TOTAL,84.98
HiringLabSectoralPosting,2020-12-11,US,United States,sales,Sales,TOTAL,85.11
HiringLabSectoralPosting,2020-12-12,US,United States,sales,Sales,TOTAL,85.09
HiringLabSectoralPosting,2020-12-13,US,United States,sales,Sales,TOTAL,85.3
HiringLabSectoralPosting,2020-12-14,US,United States,sales,Sales,TOTAL,85.51
HiringLabSectoralPosting,2020-12-15,US,United States,sales,Sales,TOTAL,85.74
HiringLabSectoralPosting,2020-12-16,US,United States,sales,Sales,TOTAL,85.9
HiringLabSectoralPosting,2020-12-17,US,United States,sales,Sales,TOTAL,85.91
HiringLabSectoralPosting,2020-12-18,US,United States,sales,Sales,TOTAL,85.95
HiringLabSectoralPosting,2020-12-19,US,United States,sales,Sales,TOTAL,85.99
HiringLabSectoralPosting,2020-12-20,US,United States,sales,Sales,TOTAL,85.81
HiringLabSectoralPosting,2020-12-21,US,United States,sales,Sales,TOTAL,85.61
HiringLabSectoralPosting,2020-12-22,US,United States,sales,Sales,TOTAL,85.49
HiringLabSectoralPosting,2020-12-23,US,United States,sales,Sales,TOTAL,85.3
HiringLabSectoralPosting,2020-12-24,US,United States,sales,Sales,TOTAL,85.26
